Q0032	YNL182C
Q0050	YER142C
Q0092	YOR026W
REP1	YBL056W
REP1	YBR217W
REP1	YDR523C
YAL001C	YBR123C
YAL002W	YKR026C
YAL002W	YLR148W
YAL002W	YLR396C
YAL002W	YMR231W
YAL002W	YPL045W
YAL003W	YBR118W
YAL003W	YKL081W
YAL003W	YML064C
YAL005C	YOR151C
YAL005C	YPR010C
YAL007C	YAR002CA
YAL007C	YDR087C
YAL007C	YDR101C
YAL007C	YDR127W
YAL007C	YER110C
YAL007C	YGL200C
YAL007C	YLR342W
YAL007C	YML012W
YAL007C	YMR290C
YAL007C	YPL211W
YAL009W	YDL040C
YAL009W	YDR211W
YAL009W	YHR004C
YAL009W	YJL176C
YAL009W	YLR342W
YAL010C	YJL066C
YAL010C	YMR203W
YAL010C	YPL235W
YAL012W	YBR055C
YAL012W	YMR300C
YAL012W	YPL149W
YAL013W	YNL330C
YAL015C	YDL029W
YAL015C	YDL059C
YAL015C	YDR214W
YAL015C	YEL030W
YAL015C	YEL060C
YAL015C	YJR068W
YAL015C	YMR012W
YAL015C	YMR058W
YAL015C	YMR146C
YAL015C	YNL037C
YAL015C	YPR110C
YAL016W	YAL024C
YAL016W	YDL134C
YAL016W	YDL188C
YAL016W	YDR482C
YAL016W	YGL190C
YAL016W	YGR161C
YAL016W	YGR281W
YAL016W	YHR082C
YAL016W	YHR135C
YAL016W	YHR158C
YAL016W	YML109W
YAL016W	YMR273C
YAL016W	YOL113W
YAL016W	YOR014W
YAL016W	YPL152W
YAL017W	YDR099W
YAL017W	YDR190C
YAL017W	YGL112C
YAL017W	YOL045W
YAL017W	YPR160W
YAL019W	YBL088C
YAL019W	YBR084W
YAL019W	YOL045W
YAL021C	YCL028W
YAL021C	YCR093W
YAL021C	YDL165W
YAL021C	YDR188W
YAL021C	YDR190C
YAL021C	YER068W
YAL021C	YGL195W
YAL021C	YGR086C
YAL021C	YGR134W
YAL021C	YGR155W
YAL021C	YGR184C
YAL021C	YNL288W
YAL021C	YNR052C
YAL021C	YOR027W
YAL024C	YHR158C
YAL025C	YOR005C
YAL026C	YAL053W
YAL027W	YBR196C
YAL027W	YCL024W
YAL027W	YDR174W
YAL027W	YDR381W
YAL027W	YDR507C
YAL027W	YLR044C
YAL027W	YML095C
YAL027W	YOL086C
YAL027W	YPL022W
YAL029C	YBR081C
YAL029C	YBR109C
YAL029C	YBR130C
YAL029C	YDR101C
YAL029C	YER110C
YAL029C	YFL039C
YAL029C	YGL106W
YAL029C	YGL195W
YAL029C	YHR023W
YAL029C	YKL130C
YAL029C	YLR249W
YAL029C	YMR139W
YAL029C	YMR186W
YAL029C	YMR309C
YAL029C	YOL086C
YAL029C	YOR181W
YAL032C	YDL209C
YAL032C	YDR364C
YAL032C	YDR416W
YAL032C	YGL120C
YAL032C	YGL128C
YAL032C	YGR278W
YAL032C	YJL203W
YAL032C	YKL095W
YAL032C	YKL173W
YAL032C	YLL036C
YAL032C	YLR117C
YAL032C	YML049C
YAL032C	YMR213W
YAL032C	YMR288W
YAL032C	YPL151C
YAL032C	YPL213W
YAL033W	YBR167C
YAL034C	YBR198C
YAL034C	YER110C
YAL034C	YGR274C
YAL034C	YOL004W
YAL034C	YOL086C
YAL035W	YBR084W
YAL035W	YDL014W
YAL035W	YDR496C
YAL035W	YER036C
YAL035W	YER142C
YAL035W	YFR031CA
YAL035W	YGL130W
YAL035W	YGR102C
YAL035W	YIR001C
YAL035W	YLR175W
YAL035W	YLR427W
YAL035W	YMR106C
YAL035W	YMR309C
YAL035W	YNL030W
YAL035W	YOR361C
YAL035W	YPR041W
YAL036C	YGR162W
YAL036C	YHR027C
YAL036C	YJL138C
YAL036C	YMR012W
YAL041W	YBR200W
YAL041W	YER114C
YAL041W	YLR357W
YAL041W	YNL007C
YAL042W	YML130C
YAL043C	YDR195W
YAL043C	YDR301W
YAL043C	YER133W
YAL043C	YGR156W
YAL043C	YJL033W
YAL043C	YJR093C
YAL043C	YKL059C
YAL043C	YKR002W
YAL043C	YLR115W
YAL043C	YLR277C
YAL043C	YMR061W
YAL043C	YNL222W
YAL043C	YNL317W
YAL043C	YOR179C
YAL043C	YPR107C
YAL047C	YMR001C
YAL049C	YDL025C
YAL053W	YLR342W
YAL053W	YML072C
YAL053W	YOR153W
YAL059W	YBR115C
YAL059W	YDR395W
YAL059W	YER110C
YAL059W	YGL195W
YAL059W	YMR186W
YAL059W	YMR308C
YAL059W	YOL086C
YAL061W	YMR308C
YAR002CA	YGL200C
YAR002CA	YGR132C
YAR002CA	YML012W
YAR002CA	YNL030W
YAR002W	YLR347C
YAR002W	YNL189W
YAR003W	YBR175W
YAR003W	YDR069C
YAR003W	YDR469W
YAR003W	YHR119W
YAR003W	YJL026W
YAR003W	YJR113C
YAR003W	YLL039C
YAR003W	YLR015W
YAR003W	YPL138C
YAR007C	YBR089CA
YAR007C	YBR136W
YAR007C	YCR012W
YAR007C	YDL007W
YAR007C	YDL029W
YAR007C	YDR097C
YAR007C	YDR190C
YAR007C	YER078C
YAR007C	YER095W
YAR007C	YHR164C
YAR007C	YIR002C
YAR007C	YLR304C
YAR007C	YLR347C
YAR007C	YML032C
YAR007C	YMR116C
YAR007C	YMR234W
YAR007C	YNL312W
YAR007C	YOL090W
YAR009C	YOL133W
YAR014C	YER155C
YAR014C	YGR285C
YAR014C	YHR064C
YAR014C	YLR096W
YAR014C	YMR116C
YAR014C	YPL204W
YAR018C	YGR285C
